 sex row_number liters_drunk age drink check_number label
1340 м 19.0 3 40 Fanta 3692 1
1341 Ж 41.0 1 35 Fanta 3558 0
1342 Ж 42.0 0 48 Beerbeer 5036 0
1343 Ж 67.0 1 64 Bugbeer 3150 1
1344 "Не указан" 32.0 4 59 Cola 9254 1
1345 ж 38.0 1 20 Cola 4200 1
1346 - 74.0 83644597 44 Beerbeer 7485 1
1347 Ж 82.0 4 51 Beerbeer 9133 1
1348 M  3 33 Water 3670 0
1349 - 22.0 2 55 Water 8276 1
1350 "Не указан" 6.0 4 47 Beerbeer 10 1
1351 - 15.0 2 14 Water 5727 1
1352 - 40.0 0 78 Bugbeer 5406 0
1353 Ж 11.0 4 25 Beerbeer 7647 1
1354 M 56.0 4 23 Beerbeer 7703 1
1355 "Не указан" 73.0 0 70 Fanta 1454 1
1356 ж 39.0 4 62 Fanta 3282 0
1357 Ж 53.0 3 48 Cola 5897 1
1358 ж 9.0 0 56 Cola 6672 1
1359 м 2.0 3 71 Bugbeer 7831 0
1360 - 84.0 0 75 Beerbeer 3238 0
1361 "Не указан" 56.0 0 47 "Strong beer" 5616 0
1362 - 79.0 5 59 Fanta 4229 0
1363 "Не указан" 53.0 1 57 Bugbeer 9118 0
1364 м 74.0 0 37 "Strong beer" 3880 1
1365 "Не указан" 59.0 1 51 "Strong beer" 9359 1
1366 Ж 16.0 3 75 Fanta 7789 1
1367 - 38.0 2 36 Cola 7489 1
1368 Ж 32.0 -2 73 Fanta 1077 0
1369 M 67.0 5 69 "Strong beer" 4704 1
1370 м 4.0 0 63 Beerbeer 5324 1
1371 - 41.0 -5 43 Water 958 1
1372 M 9.0 4 15 Fanta 1973 0
1373 Ж 89.0 85055260 11 Fanta 7984 1
1374 "Не указан" 56.0 4 51 Cola 6666 1
1375 Ж 10.0 -3 14 Cola 2794 1
1376 "Не указан" 36.0 3 69 Beerbeer 6933 1
1377 м 95.0 4 22 "Strong beer" 5546 1
1378 м 69.0 5 53 Fanta 1560 0
1379 ж 12.0 93621751 25 Cola 4697 1
1380 м 48.0 2 71 Beerbeer 232 1
1381 м 92.0 3 61 Beerbeer 4044 0
1382 ж 10.0 4 67 "Strong beer" 5796 1
1383 "Не указан" 14.0 51808322 80 Bugbeer 6015 1
1384 M  3 34 Cola 7606 1
1385 ж 22.0 4 31 "Strong beer" 5041 1
1386 M 43.0 5 66 Beerbeer 2780 0
1387 M  3 25 Fanta 3541 0
1388 Ж 58.0 4 33 Bugbeer 4432 1
1389 м 83.0 3 65 Fanta 8689 1
1390 м 55.0 4 44 Fanta 5025 1
1391 M 10.0 15253939 58 "Strong beer" 8154 0
1392 - 18.0 1 66 "Strong beer" 4395 1
1393 ж 14.0 49467057 41 Bugbeer 3153 1
1394 "Не указан" 86.0 5 72 Cola 9207 0
1395 "Не указан" 56.0 0 38 Water 570 0
1396 - 5.0 3 35 Fanta 5767 1
1397 ж 74.0 2 72 Fanta 2601 1
1398 M 50.0 0 12 Fanta 8325 0
1399 - 57.0 3 23 Bugbeer 6053 1
1400 м 54.0 2 71 Fanta 1161 1
1401 Ж 2.0 1 77 Bugbeer 7478 1
1402 Ж 57.0 3 58 Beerbeer 6867 1
1403 Ж 47.0 3 41 Fanta 9671 1
1404 м 69.0 3 73 "Strong beer" 3156 0
1405 - 59.0 3 57 Fanta 97 0
1406 "Не указан" 25.0 1 75 Fanta 1598 0
1407 ж 24.0 -1 75 Cola 3893 0
1408 ж 100.0 4 21 "Strong beer" 7550 1
1409 Ж 96.0 3 24 Cola 141 0
1410 ж 77.0 0 44 Bugbeer 9138 0
1411 - 46.0 5 25 "Strong beer" 7971 1
1412 M 90.0 2 48 Fanta 1483 0
1413 M 58.0 2 51 Fanta 8426 1
1414 - 36.0 1 51 Water 9627 1
1415 "Не указан" 88.0 5 72 "Strong beer" 7441 0
1416 ж 34.0 2 80 Fanta 9950 1
1417 м 47.0 -2 32 "Strong beer" 5373 1
1418 "Не указан" 36.0 3 10 Cola 6031 0
1419 ж 0.0 1 77 Beerbeer 4167 1
1420 м 45.0 3 12 Water 3021 1
1421 "Не указан" 10.0 5 29 "Strong beer" 1316 1
1422 м 39.0 3 18 Water 2813 1
1423 M 25.0 2 40 "Strong beer" 5825 1
1424 Ж 24.0 0 68 Cola 2624 1
1425 ж 44.0 0 38 "Strong beer" 877 0
1426 м 59.0 1 30 "Strong beer" 3701 0
1427 Ж 51.0 5 66 Bugbeer 4895 0
1428 M 41.0 -5 17 Fanta 2932 0
1429 "Не указан" 41.0 2 42 Fanta 4357 0
1430 м 88.0 1 32 Water 8002 0
1431 ж 68.0 2 53 "Strong beer" 4883 1
1432 - 94.0 2 52 Bugbeer 4669 0
1433 Ж  0 51 Beerbeer 486 0
1434 м 30.0 4 37 Water 5475 1
1435 "Не указан" 27.0 1 51 Water 4223 1
1436 - 69.0 0 18 Fanta 6009 1
1437 - 40.0 0 80 Fanta 9100 1
1438 м 58.0 3 14 Cola 6381 0
1439 M 85.0 1 29 "Strong beer" 5160 0
1440 ж 81.0 3 35 Bugbeer 7906 1
1441 "Не указан" 93.0 1 33 "Strong beer" 4608 1
1442 ж 35.0 0 69 Bugbeer 807 0
1443 ж 77.0 1 67 Fanta 2539 1
1444 Ж 5.0 3 10 Cola 9857 1
1445 ж 28.0 5 66 Water 5605 1
1446 м 10.0 2 18 Water 3497 0
1447 ж 61.0 4 37 Beerbeer 3532 1
1448 "Не указан" 19.0 1 60 Water 1086 0
1449 - 68.0 5 53 "Strong beer" 8958 0
1450 - 90.0 0 27 Water 1517 1
1451 "Не указан" 76.0 2 73 Cola 2024 1
1452 ж 35.0 4 38 Water 2854 0
1453 м 12.0 2 73 "Strong beer" 164 0
1454 M 0.0 3 49 "Strong beer" 9003 1
1455 "Не указан" 21.0 3 14 Cola 8240 1
1456 ж 25.0 1 13 Fanta 4556 1
1457 "Не указан" 63.0 3 55 Fanta 2348 1
1458 "Не указан" 13.0 0 62 "Strong beer" 5822 1
1459 M 33.0 13682517 60 "Strong beer" 5054 0
1460 ж 12.0 5 22 Beerbeer 9550 1
1461 м 79.0 0 64 Water 4670 1
1462 ж 17.0 5 60 Cola 8075 1
1463 Ж 49.0 3 30 Water 6466 0
1464 - 68.0 5 31 Water 9089 0
1465 M 12.0 2 12 Water 2911 0
1466 "Не указан" 41.0 0 55 Water 8202 1
1467 -  2 22 Water 6486 0
1468 - 96.0 2 68 Fanta 7798 1
1469 м 73.0 1 54 "Strong beer" 9957 1
1470 Ж 3.0 2 10 Cola 5151 0
1471 - 50.0 4 13 Fanta 9167 1
1472 "Не указан" 78.0 3 22 Beerbeer 6295 1
1473 м 10.0 0 30 Bugbeer 7461 1
1474 - 9.0 4 30 Cola 7487 1
1475 Ж 51.0 2 40 Fanta 2838 1
1476 "Не указан" 92.0 1 28 Fanta 8881 1
1477 - 48.0 0 54 Bugbeer 4805 0
1478 ж 71.0 5 29 Bugbeer 4323 1
1479 Ж 2.0 2 70 Fanta 9263 1
1480 м 86.0 4 46 Fanta 5691 1
1481 м 51.0 0 76 Beerbeer 2092 1
1482 M 73.0 5 54 "Strong beer" 8623 1
1483 м 49.0 1 23 Beerbeer 9645 0
1484 M 13.0 4 80 Fanta 8220 0
1485 - 20.0 5 50 Bugbeer 5914 0
1486 Ж 23.0 1 24 Water 6941 1
1487 м 18.0 1 75 "Strong beer" 6090 1
1488 M 10.0 2 23 Cola 7028 1
1489 м 54.0 0 69 Cola 6628 0
1490 Ж 1.0 -5 78 Cola 2690 1
1491 "Не указан" 34.0 -4 80 "Strong beer" 6976 0
1492 м 17.0 2 14 Fanta 4300 0
1493 м 54.0 42531955 13 Cola 5442 1
1494 Ж 76.0 3 12 Water 9754 1
1495 ж 42.0 4 52 Fanta 370 1
1496 "Не указан" 53.0 -1 45 Bugbeer 1755 1
1497 "Не указан"  2 65 Bugbeer 8787 1
1498 м  2 64 "Strong beer" 1421 1
1499 - 81.0 0 58 Fanta 9131 0
1500 Ж 55.0 0 46 Water 4222 1
1501 "Не указан" 31.0 5 33 Water 7127 1
1502 - 77.0 -6 49 "Strong beer" 8643 1
1503 ж 69.0 3 51 "Strong beer" 7601 1
1504 м 77.0 3 79 Bugbeer 7357 1
1505 ж 55.0 2 64 Water 1593 0
1506 м 21.0 0 20 Water 7029 0
1507 м 16.0 3 35 Beerbeer 9955 1
1508 - 88.0 1 51 Fanta 9844 1
1509 -  5 46 "Strong beer" 448 1
1510 "Не указан" 76.0 4 53 Fanta 9703 0
1511 "Не указан" 91.0 4 14 Cola 1427 1
1512 Ж 71.0 0 75 Fanta 1164 1
1513 ж 86.0 3 80 Bugbeer 3614 0
1514 ж 89.0 5 23 Cola 634 1
1515 "Не указан" 21.0 4 29 Bugbeer 1732 1
1516 - 24.0 1 20 Fanta 4677 1
1517 M 4.0 69231276 68 Bugbeer 5966 1
1518 - 48.0 1 13 Fanta 1564 0
1519 ж 68.0 5 27 "Strong beer" 2657 1
1520 м 49.0 2 57 Cola 1900 1
1521 ж 7.0 5 67 Fanta 589 1
1522 м  4 17 Water 9439 0
1523 Ж  0 38 Beerbeer 2463 0
1524 - 62.0 5 71 Cola 5403 1
1525 - 30.0 4 25 "Strong beer" 7660 1
1526 -  5 56 Cola 4182 0
1527 м 54.0 1 26 Bugbeer 6121 0
1528 - 42.0 2 28 Water 8288 1
1529 м 36.0 2 22 Bugbeer 9523 0
1530 Ж 33.0 3 57 Cola 1553 0
1531 - 99.0 2 10 Fanta 2735 1
1532 - 44.0 2 17 Fanta 3248 0
1533 "Не указан" 61.0 28795093 28 Beerbeer 868 1
1534 м 26.0 5 17 Cola 2798 1
1535 M 43.0 2 78 Bugbeer 3620 0
1536 Ж 9.0 94106926 52 Beerbeer 6333 1
1537 - 96.0 5 79 Water 8223 1
1538 Ж  3 36 Beerbeer 8753 0
1539 ж 25.0 4 24 Fanta 8691 1
1540 м 70.0 0 43 "Strong beer" 9437 1
1541 - 65.0 3 67 Bugbeer 5290 1
1542 M 12.0 4 30 Beerbeer 5571 1
1543 - 34.0 5 38 Bugbeer 9960 1
1544 - 22.0 3 62 Cola 9419 1
1545 ж 6.0 3 77 Bugbeer 1115 1
1546 м 89.0 5 22 "Strong beer" 7160 1
1547 - 5.0 1 48 Water 5354 1
1548 "Не указан" 57.0 0 23 Fanta 2704 1
1549 - 11.0 5 21 Fanta 3580 1
1550 Ж 67.0 3 60 Beerbeer 1523 0
1551 Ж 7.0 3 23 Water 2547 1
1552 - 10.0 4 25 "Strong beer" 248 1
1553 - 4.0 1 12 Cola 8422 1
1554 M 30.0 4 73 "Strong beer" 100 1
1555 - 82.0 5 67 Cola 7125 1
1556 м 29.0 3 51 "Strong beer" 2284 0
1557 ж 5.0 4 20 Cola 4924 1
1558 Ж 42.0 2 48 Bugbeer 3047 0
1559 ж 28.0 -4 64 Bugbeer 9623 0
1560 Ж  5 46 Beerbeer 4259 1
1561 - 66.0 2 23 Fanta 9618 1
1562 м 25.0 0 20 Fanta 5093 0
1563 - 3.0 5 52 Cola 1189 1
1564 "Не указан" 57.0 0 79 "Strong beer" 7519 0
1565 "Не указан" 37.0 1 44 Fanta 3337 0
1566 Ж 77.0 0 46 Water 3828 0
1567 - 79.0 0 77 Fanta 7347 0
1568 "Не указан" 8.0 -5 49 Cola 1371 1
1569 ж 9.0 3 45 Water 4383 1
1570 - 13.0 2 56 Cola 8403 0
1571 - 45.0 -6 60 Fanta 1711 1
1572 м 97.0 3 55 Beerbeer 1712 0
1573 Ж 34.0 3 46 Beerbeer 3816 1
1574 "Не указан"  2 36 Bugbeer 3177 1
1575 ж 36.0 1 49 Water 6047 1
1576 M 32.0 1 39 "Strong beer" 7558 1
1577 "Не указан" 5.0 4 75 Bugbeer 4205 1
1578 "Не указан" 89.0 2 47 Cola 949 1
1579 ж 67.0 1 67 Bugbeer 5167 0
1580 - 5.0 2 12 Cola 1216 0
1581 ж 93.0 4 77 Beerbeer 6579 1
1582 M 9.0 1 25 Bugbeer 6725 0
1583 "Не указан" 48.0 2 47 Water 6841 0
1584 Ж 27.0 5 50 Cola 3476 1
1585 -  1 64 Cola 6132 0
1586 "Не указан" 22.0 3 38 Fanta 5035 1
1587 - 42.0 3 64 Water 300 0
1588 "Не указан" 34.0 5 52 Beerbeer 9630 1
1589 ж 54.0 3 11 Cola 4320 0
1590 м 31.0 0 48 Bugbeer 590 0
1591 ж 73.0 4 22 Bugbeer 3963 1
1592 м 98.0 5 32 Bugbeer 8494 1
1593 Ж 67.0 2 20 Fanta 7926 0
1594 - 30.0 1 21 Beerbeer 1665 1
1595 м 48.0 0 74 Water 3224 0
1596 ж 94.0 0 31 Cola 9536 0
1597 M 82.0 4 56 Cola 8173 0
1598 Ж 32.0 2 80 Water 6450 0
1599 м 100.0 4 33 Fanta 5112 0
1600 ж  0 31 Beerbeer 2947 1
1601 M 78.0 0 73 "Strong beer" 2570 0
1602 ж 74.0 3 69 Fanta 1356 1
1603 ж 58.0 3 63 Fanta 3270 1
1604 M 78.0 1 66 Cola 3860 0
1605 Ж 83.0 0 68 Beerbeer 4841 1
1606 м 90.0 3 75 Fanta 3548 1
1607 "Не указан" 48.0 1 11 Cola 8332 0
1608 - 45.0 1 46 Water 1049 0
1609 ж 44.0 2 52 Bugbeer 1521 1
1610 м 6.0 2 63 Cola 4304 0
1611 Ж 57.0 1 64 Water 5768 0
1612 "Не указан" 28.0 4 67 Beerbeer 2113 1
1613 м 100.0 1 70 Fanta 8231 1
1614 - 100.0 1 37 Water 1911 0
1615 - 39.0 5 62 Fanta 3291 0
1616 - 33.0 3 63 "Strong beer" 9941 1
1617 ж 26.0 4 72 Fanta 3652 0
1618 Ж 63.0 0 64 Beerbeer 4496 0
1619 Ж 36.0 3 69 Cola 7820 0
1620 Ж 1.0 5 11 Water 6593 1
1621 M 20.0 5 74 Water 9070 1
1622 м 78.0 0 66 Cola 547 0
1623 Ж 43.0 3 78 "Strong beer" 2499 1
1624 "Не указан" 61.0 5 19 Cola 3718 0
1625 "Не указан" 71.0 4 11 Water 8028 0
1626 Ж 4.0 2 32 Fanta 1538 1
1627 M 27.0 0 57 Bugbeer 3431 0
1628 "Не указан" 52.0 1 56 Cola 332 1
1629 ж 77.0 5 31 Cola 8199 0
1630 "Не указан" 56.0 0 75 Cola 3160 0
1631 м 86.0 5 80 Fanta 3392 0
1632 Ж 76.0 4 48 "Strong beer" 353 1
1633 ж 36.0 0 15 Cola 9274 1
1634 м 92.0 4 71 Water 1458 1
1635 м 5.0 0 31 Cola 421 1
1636 Ж 24.0 5 47 Bugbeer 3637 1
1637 ж  2 71 Water 3283 0
1638 Ж 99.0 3 22 Water 818 0
1639 Ж 92.0 1 22 Cola 4718 1
1640 Ж  2 67 Cola 7751 1
1641 "Не указан" 98.0 16905620 77 Fanta 7619 0
1642 "Не указан" 16.0 5 31 "Strong beer" 7343 1
1643 - 47.0 0 31 Bugbeer 6913 0
1644 M 13.0 1 72 Cola 3572 1
1645 M 77.0 3 14 Cola 4875 1
1646 м 95.0 3 22 Water 3954 0
1647 M 48.0 5 13 Cola 9590 1
1648 - 93.0 5 65 Fanta 5559 0
1649 - 4.0 0 28 Bugbeer 3217 1
1650 "Не указан" 20.0 3 11 Fanta 4795 0
1651 ж 23.0 4 21 Beerbeer 1777 1
1652 м 4.0 1 34 "Strong beer" 2485 1
1653 Ж 57.0 3 55 Water 6677 0
1654 ж 95.0 1 57 Fanta 1503 1
1655 "Не указан" 89.0 2 69 Fanta 6944 1
1656 Ж 98.0 3 31 Fanta 5617 0
1657 "Не указан"  -1 56 "Strong beer" 1172 1
1658 м 83.0 3 32 Cola 136 1
1659 M 98.0 3 65 Fanta 3101 1
1660 - 44.0 5 33 Water 539 0
1661 ж 84.0 3 23 Fanta 478 1
1662 ж 21.0 0 43 Fanta 679 1
1663 Ж 56.0 5 27 Fanta 6303 0
1664 - 27.0 3 60 Fanta 2604 0
1665 - 96.0 4 34 Cola 1626 1
1666 - 41.0 5 69 "Strong beer" 1026 0
1667 M 17.0 2 65 Bugbeer 9353 0
1668 м 73.0 0 21 Fanta 201 1
1669 ж 18.0 4618099 80 Bugbeer 4026 1
1670 ж 33.0 56351312 33 Beerbeer 4166 0
1671 "Не указан" 19.0 2 25 Fanta 347 0
1672 Ж 69.0 1 45 Cola 1438 0
1673 - 1.0 2 40 Water 4964 1
1674 м 95.0 -1 38 Fanta 2407 1
1675 ж 64.0 0 54 Water 405 0
1676 - 44.0 0 76 Cola 5752 0
1677 - 34.0 5 18 Cola 3951 0
1678 M 88.0 2 74 Bugbeer 7537 1
1679 M 15.0 96225645 17 Water 8659 1
1680 Ж 5.0 0 11 Cola 5392 0
1681 - 84.0 1 13 Fanta 4934 0
1682 Ж 65.0 30998808 32 Beerbeer 5666 1
1683 ж 76.0 5 33 "Strong beer" 3135 1
1684 Ж 9.0 2 50 Water 5402 1
1685 м 92.0 4 74 Beerbeer 3000 1
1686 Ж 89.0 1 68 Cola 5664 0
1687 "Не указан" 26.0 3 20 Water 6045 0
1688 м 10.0 1 17 Fanta 3518 0
1689 ж 49.0 4 14 Water 5192 0
1690 "Не указан" 92.0 3 17 Cola 220 1
1691 м 92.0 2 15 Fanta 2401 1
1692 "Не указан" 14.0 2 29 Beerbeer 3348 1
1693 м 57.0 1 33 Cola 1226 1
1694 Ж 2.0 -6 44 Fanta 4403 0
1695 м 49.0 -1 59 Fanta 1612 1
1696 ж 76.0 3 11 Water 680 1
1697 ж 78.0 2 59 Cola 7059 1
1698 м 26.0 2 29 Beerbeer 6293 0
1699 "Не указан" 80.0 0 80 Water 1235 0
1700 м 98.0 1 33 Water 86 0
1701 ж 56.0 4 77 Fanta 272 1
1702 - 46.0 2 76 Beerbeer 1384 0
1703 ж 81.0 2 39 Cola 4156 1
1704 - 23.0 0 31 Bugbeer 2001 0
1705 M 45.0 4 60 Bugbeer 950 1
1706 - 81.0 1 77 "Strong beer" 8049 1
1707 ж 55.0 5 20 Cola 302 1
1708 - 31.0 0 78 Fanta 6652 1
1709 M 49.0 0 69 Fanta 952 0
1710 м 74.0 4 76 Fanta 9411 0
1711 "Не указан" 93.0 5 69 Beerbeer 4941 0
1712 Ж 59.0 1 79 Cola 7502 0
1713 - 38.0 4 19 Cola 9847 1
1714 Ж 67.0 5 33 Fanta 8373 1
1715 "Не указан" 69.0 3 26 Fanta 7988 0
1716 - 99.0 4 28 Water 8985 0
1717 Ж 85.0 1615172 12 Water 6866 0
1718 м  3 22 "Strong beer" 5660 1
1719 M 70.0 4 76 Cola 4538 0
1720 ж 66.0 55827127 33 Beerbeer 8717 0
1721 M 45.0 1 28 Beerbeer 2009 0
1722 ж 39.0 -2 24 "Strong beer" 2337 1
1723 м 53.0 1 61 Beerbeer 4151 1
1724 м 72.0 2 55 Fanta 1883 1
1725 Ж 52.0 0 22 Water 3910 1
1726 м 42.0 1 15 Water 5986 1
1727 Ж 5.0 2 71 Beerbeer 2678 1
1728 "Не указан" 47.0 -1 37 "Strong beer" 6851 0
1729 Ж 0.0 4 27 Water 5384 1
1730 "Не указан" 72.0 0 79 Water 3132 0
1731 M 32.0 4 73 "Strong beer" 2942 0
1732 "Не указан" 12.0 1 40 "Strong beer" 3517 1
1733 Ж 78.0 1 55 Cola 5158 1
1734 ж 16.0 1 32 "Strong beer" 7393 1
1735 M 12.0 1 20 Cola 8615 1
1736 M 12.0 -6 70 "Strong beer" 4401 0
1737 - 79.0 3 20 Water 3324 1
1738 M 94.0 3 19 Water 9962 1
1739 M 19.0 -1 38 Bugbeer 4347 1
1740 - 36.0 -5 14 Cola 8027 0
1741 - 32.0 1 74 Beerbeer 3859 0
1742 "Не указан" 11.0 0 46 Beerbeer 8421 1
1743 м 48.0 0 66 "Strong beer" 8356 0
1744 M 97.0 5 47 Beerbeer 8283 1
1745 M 95.0 3 45 Beerbeer 670 1
1746 M 94.0 17621857 25 Water 7432 1
1747 "Не указан" 40.0 3 46 Cola 1042 1
1748 м 35.0 0 35 Fanta 3157 0
1749 "Не указан" 7.0 2 59 Water 3889 1
1750 ж 5.0 0 62 Beerbeer 5412 0
1751 M 82.0 3 40 Fanta 8081 1
1752 "Не указан" 9.0 1 52 Water 3844 0
1753 Ж 11.0 3 79 Fanta 4334 0
1754 ж 99.0 0 74 "Strong beer" 5477 1
1755 Ж 77.0 0 78 Bugbeer 738 1
1756 Ж 20.0 4 72 Fanta 1357 1
1757 ж 89.0 -2 12 Fanta 11 0
1758 - 82.0 4 55 Bugbeer 3781 0
1759 "Не указан" 40.0 2 77 "Strong beer" 7666 1
1760 Ж 19.0 1 34 "Strong beer" 4716 0
1761 M 31.0 88731292 40 "Strong beer" 4609 0
1762 - 80.0 4 67 Water 3453 1
1763 "Не указан" 22.0 4 58 Water 1348 1
1764 "Не указан" 46.0 4 76 Cola 5453 0
1765 - 80.0 0 52 Fanta 4872 0
1766 "Не указан" 77.0 2 73 "Strong beer" 2302 0
1767 M 54.0 2 55 Beerbeer 6742 0
1768 - 37.0 2 27 Beerbeer 2935 1
1769 - 72.0 0 70 Water 9784 0
1770 M 42.0 0 65 "Strong beer" 8200 1
1771 M 50.0 2 44 Water 6108 1
1772 Ж 74.0 1 73 Water 4899 0
1773 "Не указан" 29.0 4 62 Water 9352 1
1774 "Не указан" 9.0 3 69 Water 5260 0
1775 "Не указан" 9.0 5 20 Cola 926 0
1776 "Не указан" 69.0 3 25 Bugbeer 6893 1
1777 Ж 13.0 60765495 14 Water 3004 0
1778 M 41.0 2 72 Cola 2312 1
1779 Ж 26.0 3 17 Cola 6924 0
1780 м 79.0 0 70 Beerbeer 2326 1
1781 Ж 30.0 1 59 Water 7814 1
1782 M 35.0 3 75 Fanta 3454 0
1783 - 38.0 0 13 Water 17 1
1784 "Не указан" 55.0 5 41 "Strong beer" 1103 1
1785 ж 35.0 3 58 Bugbeer 8241 1
1786 Ж 23.0 0 33 Bugbeer 8744 1
1787 м 16.0 5 72 "Strong beer" 5547 1
1788 - 94.0 3 65 Cola 7017 0
1789 м 8.0 4 64 "Strong beer" 4690 1
1790 "Не указан" 58.0 2 54 "Strong beer" 3447 1
1791 м 87.0 1 32 Fanta 4169 0
1792 - 87.0 3 15 Cola 535 1
1793 Ж 93.0 1 24 Bugbeer 7453 0
1794 Ж 23.0 4 17 Cola 1390 1
1795 Ж 58.0 3 60 Beerbeer 6727 0
1796 Ж 58.0 0 47 Bugbeer 3836 1
1797 Ж 84.0 5 50 Fanta 9616 0
1798 M 81.0 1 23 "Strong beer" 7229 1
1799 ж 66.0 5 22 Beerbeer 7795 1
1800 м 58.0 3 67 Cola 5058 1
1801 "Не указан"  4 64 Beerbeer 9134 1
1802 "Не указан" 40.0 5 68 Bugbeer 3822 1
1803 "Не указан" 83.0 5 18 Cola 2846 1
1804 Ж 64.0 3 54 Cola 1881 1
1805 Ж 10.0 2 73 Cola 7698 0
1806 ж 43.0 4 79 Bugbeer 2107 0
1807 M  94778217 64 Bugbeer 4037 0
1808 "Не указан" 4.0 0 70 Beerbeer 1730 1
1809 M 5.0 2 39 Water 5640 1
1810 Ж 83.0 3 37 Bugbeer 5130 0
1811 "Не указан" 2.0 0 70 Cola 7912 1
1812 "Не указан" 16.0 1 46 "Strong beer" 723 1
1813 - 21.0 1 17 Water 7258 1
1814 - 81.0 3 55 Fanta 3028 0
1815 ж 33.0 5 19 Fanta 3684 1
1816 M 51.0 2 53 Water 5736 0
1817 M 97.0 4 53 Fanta 8800 1
1818 ж 78.0 1 78 Cola 7031 1
1819 м 80.0 0 23 Beerbeer 8790 0
1820 "Не указан" 36.0 2 59 "Strong beer" 87 1
1821 м 50.0 3 11 Cola 4557 1
1822 ж 100.0 3 68 Cola 2628 1
1823 M 82.0 0 17 Fanta 3360 1
1824 - 42.0 2 55 Water 2722 0
1825 ж 22.0 1 65 "Strong beer" 8893 1
1826 Ж 6.0 0 62 Beerbeer 8721 0
1827 ж 66.0 2 71 Cola 5446 1
1828 ж 69.0 1 50 Fanta 2816 1
1829 M 16.0 4 37 Beerbeer 2797 1
1830 "Не указан"  0 63 Bugbeer 4535 1
1831 м 31.0 0 33 Fanta 7381 0
1832 м 84.0 0 76 Water 1794 0
1833 Ж 90.0 3 47 Water 6439 1
1834 Ж 79.0 4 59 Cola 1828 0
1835 "Не указан" 66.0 0 52 Beerbeer 8133 0
1836 ж 48.0 -2 26 "Strong beer" 7047 1
1837 ж 75.0 3 30 Water 9024 1
1838 M 32.0 3 51 Beerbeer 4390 0
1839 Ж 79.0 5 62 Beerbeer 1701 0
1840 "Не указан" 35.0 1 65 Cola 9049 1
1841 - 60.0 4 45 Fanta 3752 1
1842 м  5 63 Beerbeer 7934 0
1843 - 22.0 2 38 Bugbeer 1964 1
1844 Ж  0 60 Bugbeer 9831 0
1845 - 75.0 4 21 Water 3888 1
1846 Ж 37.0 5 31 Water 8270 0
1847 M 29.0 0 26 Beerbeer 399 1
1848 M 69.0 5 39 Fanta 6347 1
1849 Ж 59.0 3 19 Fanta 533 1
1850 м 81.0 3 26 "Strong beer" 5110 0
1851 M 92.0 1 74 Beerbeer 3747 1
1852 Ж 18.0 4 34 Bugbeer 9044 1
1853 "Не указан" 90.0 5 28 Bugbeer 5644 1
1854 M 33.0 19728382 23 Water 1847 1
1855 - 8.0 5 22 Water 7504 1
1856 ж 79.0 -6 79 Fanta 5469 0
1857 Ж 64.0 4 54 Cola 9048 0
1858 ж 39.0 2 74 Beerbeer 1923 1
1859 ж 51.0 13314084 40 "Strong beer" 8517 1
1860 Ж 78.0 2 38 Fanta 6740 1
1861 - 75.0 3 11 Cola 9059 0
1862 - 93.0 4 31 Fanta 6000 1
1863 M 2.0 3 59 "Strong beer" 9604 1
1864 M 80.0 3 75 Water 4909 0
1865 M 54.0 1 28 Beerbeer 6885 1
1866 "Не указан" 72.0 4 60 "Strong beer" 2999 1
1867 м  2 75 Beerbeer 6703 1
1868 Ж 82.0 2 78 "Strong beer" 4083 0
1869 Ж 52.0 3 35 Fanta 9636 0
1870 м 52.0 5 59 Fanta 6951 1
1871 м 86.0 0 67 Water 1485 0
1872 "Не указан" 61.0 -1 41 Fanta 1263 1
1873 "Не указан" 61.0 5 72 Cola 8295 1
1874 M 11.0 5 38 Bugbeer 5452 1
1875 м 5.0 0 73 Fanta 3440 1
1876 - 13.0 0 13 Fanta 5401 0
1877 Ж 41.0 0 76 "Strong beer" 996 1
1878 "Не указан" 97.0 0 76 Cola 1867 0
1879 Ж 10.0 3 23 "Strong beer" 8102 0
1880 - 88.0 1 45 Fanta 5873 1
1881 "Не указан" 76.0 -3 11 Fanta 9995 1
1882 - 33.0 1 14 Fanta 7700 0
1883 ж 95.0 5 22 "Strong beer" 2272 1
1884 Ж 68.0 -3 70 Water 4309 0
1885 ж 4.0 3 77 Water 9493 1
1886 "Не указан" 82.0 0 76 Fanta 2989 0
1887 м 0.0 0 76 Cola 4696 1
1888 ж 69.0 5 41 Bugbeer 3401 1
1889 м 72.0 82352233 31 Bugbeer 3921 0
1890 Ж 38.0 4 45 Cola 1304 0
1891 "Не указан" 49.0 0 29 Bugbeer 6136 0
1892 - 9.0 3 36 Beerbeer 203 0
1893 M  3 80 "Strong beer" 5217 1
1894 м 76.0 2 44 Bugbeer 7494 1
1895 ж 96.0 3 76 "Strong beer" 431 1
1896 - 79.0 5 33 "Strong beer" 622 1
1897 M 7.0 1 18 Water 2629 0
1898 м 6.0 5 61 Beerbeer 1786 0
1899 Ж  2 35 Beerbeer 7015 0
1900 M 58.0 4 69 Beerbeer 5271 1
1901 м 13.0 5 58 Cola 4055 0
1902 ж 18.0 2 18 Fanta 6423 1
1903 Ж 32.0 3 53 Beerbeer 9311 0
1904 "Не указан" 19.0 0 38 Water 5948 1
1905 м 91.0 3 61 Beerbeer 7075 1
